"","agecut5","sex","middle","lower","upper","agecut5_numeric","middle_log","lower_log","upper_log","agecut5_log","agecut5_log_dm"
"1","20","Female",0.0166981606646391,2.47633340083406e-14,0.157122289859575,20,-4.09245670546723,-31.3294123031567,-1.85073086052867,2.99573227355399,-0.998638403087488
"2","20","Male",0.0197197581047612,1.81187511437762e-13,0.161017523461104,20,-3.92613419637572,-29.3392439251022,-1.82624207854715,2.99573227355399,-0.998638403087488
"3","25","Female",0.0298058435680249,9.17149322126754e-12,0.212715661238962,25,-3.51305081180774,-25.4149210052649,-1.54779892883793,3.2188758248682,-0.775494851773278
"4","25","Male",0.0360709658421313,9.17510432925992e-12,0.236747878163079,25,-3.32226700754325,-25.4145273510161,-1.44075950930847,3.2188758248682,-0.775494851773278
"5","30","Female",0.78322654657538,0.384443776663482,1.31351952927865,30,-0.244333293325729,-0.955957725270599,0.272710198155231,3.40119738166216,-0.593173294979323
"6","30","Male",0.915716695623012,0.478877124027701,1.54002496144578,30,-0.0880482464005997,-0.736311240517856,0.431798625025206,3.40119738166216,-0.593173294979323
"7","35","Female",1.29672497494254,0.791680221285437,1.95886938581549,35,0.259841835773231,-0.233597729704369,0.672367462832243,3.55534806148941,-0.439022615152065
"8","35","Male",2.59442912994485,1.83094689035792,3.58320169904697,35,0.953366503956284,0.604833259459527,1.27625673008113,3.55534806148941,-0.439022615152065
"9","40","Female",2.75747133945216,2.03129725758461,3.67275044050173,40,1.01431407842048,0.7086746320977,1.30094082020624,3.68887945411394,-0.305491222527542
"10","40","Male",5.12270055962188,4.05690431287515,6.33305247148304,40,1.6336817530481,1.40042019826097,1.84578234290705,3.68887945411394,-0.305491222527542
"11","45","Female",5.59848187816047,4.48651977924292,6.92251634482379,45,1.72249546780307,1.50107729635941,1.93477933717594,3.80666248977032,-0.187708186871159
"12","45","Male",8.61750019912881,7.20719751594099,10.1753295269021,45,2.15379504251637,1.9750801816915,2.31996611674057,3.80666248977032,-0.187708186871159
"13","50","Female",9.42919908622567,7.97911223537993,11.0658459905587,50,2.24381116050665,2.07682715657386,2.40386342702489,3.91202300542815,-0.0823476712133324
"14","50","Male",16.9655942414424,15.032258928371,19.1511538008608,50,2.83118742511714,2.71019848710724,2.95236296450934,3.91202300542815,-0.0823476712133324
"15","55","Female",19.908935743346,17.6941126453553,22.2885330695286,55,2.99116866327454,2.87323196534337,3.10407233408492,4.00733318523247,0.0129625085909928
"16","55","Male",32.2450428059772,29.5271221367341,35.3638736904236,55,3.4733643199844,3.38530923542712,3.56569078183781,4.00733318523247,0.0129625085909928
"17","60","Female",36.2932650326212,33.0945411839878,39.7356485969865,60,3.59163218776539,3.49936834986964,3.68224873432389,4.0943445622221,0.099973885580622
"18","60","Male",61.2456109466604,57.0544716842966,65.4592064482278,60,4.11489218884357,4.04400645508208,4.18142714630215,4.0943445622221,0.099973885580622
"19","65","Female",68.5930237645991,63.9591617574452,73.7346296490646,65,4.22819083516702,4.15824478214887,4.30047256196112,4.17438726989564,0.180016593254158
"20","65","Male",108.223861479337,102.102257403064,114.369802452233,65,4.68420187333127,4.62597483465259,4.73943707952254,4.17438726989564,0.180016593254158
"21","70","Female",103.961720121897,97.4157612887237,111.147799314185,70,4.64402275563388,4.57898801776978,4.7108608409716,4.24849524204936,0.254124565407881
"22","70","Male",186.924364479696,177.531051183167,196.302746212684,70,5.23070406701232,5.17914552985911,5.27965809106069,4.24849524204936,0.254124565407881
"23","75","Female",174.908069024401,165.314365983478,184.87200416916,75,5.16426051603413,5.10784890960163,5.21966371627038,4.31748811353631,0.323117436894832
"24","75","Male",292.561082162784,279.227954866097,305.89600226835,75,5.67867347277735,5.63202849075463,5.72324518231811,4.31748811353631,0.323117436894832
"25","80","Female",222.745571922268,210.64342361484,235.539016932629,80,5.40603018701648,5.35016676844963,5.46187657672986,4.38202663467388,0.387655958032403
"26","80","Male",389.994430165852,371.329377163328,409.912903123676,80,5.96613245739569,5.91708947780364,6.01594470572594,4.38202663467388,0.387655958032403
"27","85","Female",231.81151947802,216.09090738809,248.376464043462,85,5.44592462543453,5.37569918668172,5.51494559534263,4.44265125649032,0.448280579848838
"28","85","Male",424.897862103315,396.708383664385,453.447387563343,85,6.05184881557908,5.98320146080941,6.11687924863173,4.44265125649032,0.448280579848838
"29","90","Female",191.90161348147,168.401957923613,218.968421733939,90,5.25698281090676,5.12635372836542,5.38892752642398,4.49980967033027,0.505438993688787
"30","90","Male",317.162500543894,275.690506395476,361.434688777509,90,5.75941426254481,5.61927888289017,5.89008135799439,4.49980967033027,0.505438993688787
"31","95","Female",132.195953505744,96.309887129395,173.763708561896,95,4.8842853180667,4.56757098362104,5.15769637953056,4.55387689160054,0.559506214959062
"32","95","Male",225.669230179635,152.396220988637,324.357028703002,95,5.41907034391215,5.02648384628261,5.78184484954298,4.55387689160054,0.559506214959062
"33","100+","Female",67.5829024252515,17.1022489334213,166.124075001358,100,4.2133550283552,2.83920997143541,5.11273494892977,4.60517018598809,0.610799509346613
"34","100+","Male",214.53375508721,72.8769373603713,512.355667897769,100,5.36846709236122,4.28877222902221,6.23901904773508,4.60517018598809,0.610799509346613
